Goroka,Papua New Guinea,AYGA,GKA,Goroka Airport,-6.081689835,145.3919983
Madang,Papua New Guinea,AYMD,MAG,Madang Airport,-5.207079887,145.7890015
Mount Hagen,Papua New Guinea,AYMH,HGU,Mount Hagen Kagamuga Airport,-5.826789856,144.2960052
Nadzab,Papua New Guinea,AYNZ,LAE,Nadzab Airport,-6.569803,146.725977
Port Moresby,Papua New Guinea,AYPY,POM,Port Moresby Jacksons International Airport,-9.443380356,147.2200012
Wewak,Papua New Guinea,AYWK,WWK,Wewak International Airport,-3.583830118,143.6690063
Narssarssuaq,Greenland,BGBW,UAK,Narsarsuaq Airport,61.16049957,-45.42599869
Godthaab,Greenland,BGGH,GOH,Godthaab / Nuuk Airport,64.19090271,-51.67810059
Sondrestrom,Greenland,BGSF,SFJ,Kangerlussuaq Airport,67.0122219,-50.71160316
Thule,Greenland,BGTL,THU,Thule Air Base,76.53119659,-68.70320129
Akureyri,Iceland,BIAR,AEY,Akureyri Airport,65.66000366,-18.0727005
Egilsstadir,Iceland,BIEG,EGS,Egilsstaðir Airport,65.28330231,-14.40139961
Hofn,Iceland,BIHN,HFN,Hornafjörður Airport,64.295601,-15.2272
Husavik,Iceland,BIHU,HZK,Húsavík Airport,65.952301,-17.426001
Isafjordur,Iceland,BIIS,IFJ,Ísafjörður Airport,66.05809784,-23.13529968
Keflavik,Iceland,BIKF,KEF,Keflavik International Airport,63.98500061,-22.60560036
Patreksfjordur,Iceland,BIPA,PFJ,Patreksfjörður Airport,65.555801,-23.965
Reykjavik,Iceland,BIRK,RKV,Reykjavik Airport,64.12999725,-21.94059944
Siglufjordur,Iceland,BISI,SIJ,Siglufjörður Airport,66.133301,-18.9167
Vestmannaeyjar,Iceland,BIVM,VEY,Vestmannaeyjar Airport,63.42430115,-20.27890015
Sault Sainte Marie,Canada,CYAM,YAM,Sault Ste Marie Airport,46.48500061,-84.50939941
St. Anthony,Canada,CYAY,YAY,St. Anthony Airport,51.39189911,-56.08309937
Tofino,Canada,CYAZ,YAZ,Tofino / Long Beach Airport,49.079833,-125.775583
Pelly Bay,Canada,CYBB,YBB,Kugaaruk Airport,68.534401,-89.808098
Baie Comeau,Canada,CYBC,YBC,Baie Comeau Airport,49.13249969,-68.20439911
Bagotville,Canada,CYBG,YBG,CFB Bagotville,48.33060074,-70.99639893
Baker Lake,Canada,CYBK,YBK,Baker Lake Airport,64.29889679,-96.07779694
Campbell River,Canada,CYBL,YBL,Campbell River Airport,49.95080185,-125.2710037
Brandon,Canada,CYBR,YBR,Brandon Municipal Airport,49.91,-99.951897
Cambridge Bay,Canada,CYCB,YCB,Cambridge Bay Airport,69.10810089,-105.1380005
Nanaimo,Canada,CYCD,YCD,Nanaimo Airport,49.05497022,-123.8698626
Castlegar,Canada,CYCG,YCG,Castlegar/West Kootenay Regional Airport,49.29639816,-117.6320038
Chatham,Canada,CYCH,YCH,Miramichi Airport,47.007801,-65.449203
Charlo,Canada,CYCL,YCL,Charlo Airport,47.990799,-66.330299
Coppermine,Canada,CYCO,YCO,Kugluktuk Airport,67.816704,-115.143997
Coronation,Canada,CYCT,YCT,Coronation Airport,52.07500076,-111.4449997
Chilliwack,Canada,CYCW,YCW,Chilliwack Airport,49.15280151,-121.939003
Clyde River,Canada,CYCY,YCY,Clyde River Airport,70.48609924,-68.51670074
Coral Harbour,Canada,CYZS,YZS,Coral Harbour Airport,64.19329834,-83.35939789
Dawson,Canada,CYDA,YDA,Dawson City Airport,64.04309845,-139.128006
Burwash,Canada,CYDB,YDB,Burwash Airport,61.37110138,-139.0410004
Deer Lake,Canada,CYDF,YDF,Deer Lake Airport,49.21080017,-57.39139938
Dease Lake,Canada,CYDL,YDL,Dease Lake Airport,58.42219925,-130.0319977
Dauphin,Canada,CYDN,YDN,Dauphin Barker Airport,51.10079956,-100.052002
Dawson Creek,Canada,CYDQ,YDQ,Dawson Creek Airport,55.74229813,-120.1829987
Edmonton,Canada,CYEG,YEG,Edmonton International Airport,53.30970001,-113.5800018
Eskimo Point,Canada,CYEK,YEK,Arviat Airport,61.09420013,-94.07080078
Estevan,Canada,CYEN,YEN,Estevan Airport,49.21030045,-102.9660034
Edson,Canada,CYET,YET,Edson Airport,53.57889938,-116.4649963
Eureka,Canada,CYEU,YEU,Eureka Airport,79.99469757,-85.81420136
Inuvik,Canada,CYEV,YEV,Inuvik Mike Zubko Airport,68.30419922,-133.4830017
Iqaluit,Canada,CYFB,YFB,Iqaluit Airport,63.756402,-68.555801
Fredericton,Canada,CYFC,YFC,Fredericton Airport,45.8689003,-66.53720093
Forestville,Canada,CYFE,YFE,Forestville Airport,48.74610138,-69.09719849
Flin Flon,Canada,CYFO,YFO,Flin Flon Airport,54.67810059,-101.6819992
Fort Resolution,Canada,CYFR,YFR,Fort Resolution Airport,61.18080139,-113.6900024
Fort Simpson,Canada,CYFS,YFS,Fort Simpson Airport,61.7602005,-121.2369995
Kingston,Canada,CYGK,YGK,Kingston Norman Rogers Airport,44.22529984,-76.59690094
La Grande Riviere,Canada,CYGL,YGL,La Grande Rivière Airport,53.62530136,-77.70420074
Gaspe,Canada,CYGP,YGP,Gaspé (Michel-Pouliot) Airport,48.77529907,-64.47859955
Geraldton,Canada,CYGQ,YGQ,Geraldton Greenstone Regional Airport,49.77830124,-86.93939972
Iles De La Madeleine,Canada,CYGR,YGR,Îles-de-la-Madeleine Airport,47.42470169,-61.77809906
Hudson Bay,Canada,CYHB,YHB,Hudson Bay Airport,52.81669998,-102.310997
Dryden,Canada,CYHD,YHD,Dryden Regional Airport,49.831699,-92.744202
Holman Island,Canada,CYHI,YHI,Ulukhaktok Holman Airport,70.76280212,-117.8059998
Gjoa Haven,Canada,CYHK,YHK,Gjoa Haven Airport,68.63559723,-95.84970093
Hamilton,Canada,CYHM,YHM,John C. Munro Hamilton International Airport,43.17359924,-79.93499756
Montreal,Canada,CYHU,YHU,Montréal / Saint-Hubert Airport,45.51750183,-73.41690063
Hay River,Canada,CYHY,YHY,Hay River / Merlyn Carter Airport,60.83969879,-115.7829971
Halifax,Canada,CYHZ,YHZ,Halifax / Stanfield International Airport,44.88079834,-63.50859833
Atikokan,Canada,CYIB,YIB,Atikokan Municipal Airport,48.77389908,-91.63860321
Pond Inlet,Canada,CYIO,YIO,Pond Inlet Airport,72.6832962,-77.96669769
St. Jean,Canada,CYJN,YJN,St Jean Airport,45.29439926,-73.28109741
Stephenville,Canada,CYJT,YJT,Stephenville Airport,48.5442009,-58.54999924
Kamloops,Canada,CYKA,YKA,Kamloops Airport,50.70220184,-120.4440002
Waterloo,Canada,CYKF,YKF,Waterloo Airport,43.46080017,-80.37860107
Schefferville,Canada,CYKL,YKL,Schefferville Airport,54.80530167,-66.80529785
Kindersley,Canada,CYKY,YKY,Kindersley Airport,51.51750183,-109.1809998
Toronto,Canada,CYKZ,YKZ,Buttonville Municipal Airport,43.86220169,-79.37000275
Chapleau,Canada,CYLD,YLD,Chapleau Airport,47.81999969,-83.34670258
Meadow Lake,Canada,CYLJ,YLJ,Meadow Lake Airport,54.12530136,-108.5230026
Lloydminster,Canada,CYLL,YLL,Lloydminster Airport,53.30920029,-110.072998
Alert,Canada,CYLT,YLT,Alert Airport,82.51779938,-62.2806015
Kelowna,Canada,CYLW,YLW,Kelowna International Airport,49.95610046,-119.3779984
Mayo,Canada,CYMA,YMA,Mayo Airport,63.61640167,-135.8679962
Moose Jaw,Canada,CYMJ,YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,50.33029938,-105.5589981
Fort Mcmurray,Canada,CYMM,YMM,Fort McMurray Airport,56.65330124,-111.2220001
Moosonee,Canada,CYMO,YMO,Moosonee Airport,51.29109955,-80.60780334
Maniwaki,Canada,CYMW,YMW,Maniwaki Airport,46.27280045,-75.99060059
Montreal,Canada,CYMX,YMX,Montreal International (Mirabel) Airport,45.679501,-74.038696
Natashquan,Canada,CYNA,YNA,Natashquan Airport,50.18999863,-61.78919983
Gatineau,Canada,CYND,YND,Ottawa / Gatineau Airport,45.52170181,-75.56359863
Matagami,Canada,CYNM,YNM,Matagami Airport,49.76169968,-77.80280304
Old Crow,Canada,CYOC,YOC,Old Crow Airport,67.57060242,-139.8390045
Cold Lake,Canada,CYOD,YOD,CFB Cold Lake,54.40499878,-110.2789993
High Level,Canada,CYOJ,YOJ,High Level Airport,58.62139893,-117.1650009
Ottawa,Canada,CYOW,YOW,Ottawa Macdonald-Cartier International Airport,45.32249832,-75.66919708
Prince Albert,Canada,CYPA,YPA,Prince Albert Glass Field,53.21419907,-105.6729965
Peace River,Canada,CYPE,YPE,Peace River Airport,56.226898,-117.446999
Portage-la-prairie,Canada,CYPG,YPG,Southport Airport,49.903099,-98.273817
Pickle Lake,Canada,CYPL,YPL,Pickle Lake Airport,51.44639969,-90.21420288
Port Menier,Canada,CYPN,YPN,Port Menier Airport,49.83639908,-64.28859711
Peterborough,Canada,CYPQ,YPQ,Peterborough Airport,44.22999954,-78.36329651
Prince Pupert,Canada,CYPR,YPR,Prince Rupert Airport,54.28609848,-130.4450073
Fort Chipewyan,Canada,CYPY,YPY,Fort Chipewyan Airport,58.76720047,-111.1169968
Muskoka,Canada,CYQA,YQA,Muskoka Airport,44.97470093,-79.30329895
Quebec,Canada,CYQB,YQB,Quebec Jean Lesage International Airport,46.7911,-71.393303
Red Deer Industrial,Canada,CYQF,YQF,Red Deer Regional Airport,52.18220139,-113.8939972
Windsor,Canada,CYQG,YQG,Windsor Airport,42.27560043,-82.95559692
Watson Lake,Canada,CYQH,YQH,Watson Lake Airport,60.11640167,-128.8220062
Kenora,Canada,CYQK,YQK,Kenora Airport,49.78829956,-94.36309814
Lethbridge,Canada,CYQL,YQL,Lethbridge County Airport,49.63029861,-112.8000031
Moncton,Canada,CYQM,YQM,Greater Moncton International Airport,46.11220169,-64.6785965
Comox,Canada,CYQQ,YQQ,Comox Airport,49.71080017,-124.887001
Regina,Canada,CYQR,YQR,Regina International Airport,50.43190002,-104.6660004
Thunder Bay,Canada,CYQT,YQT,Thunder Bay Airport,48.37189865,-89.32389832
Grande Prairie,Canada,CYQU,YQU,Grande Prairie Airport,55.17969894,-118.8850021
Yorkton,Canada,CYQV,YQV,Yorkton Municipal Airport,51.26470184,-102.461998
North Battleford,Canada,CYQW,YQW,North Battleford Airport,52.76919937,-108.2440033
Gander,Canada,CYQX,YQX,Gander International Airport,48.93690109,-54.56809998
Sydney,Canada,CYQY,YQY,Sydney / J.A. Douglas McCurdy Airport,46.1614,-60.047798
Quesnel,Canada,CYQZ,YQZ,Quesnel Airport,53.02610016,-122.5100021
Resolute,Canada,CYRB,YRB,Resolute Bay Airport,74.71690369,-94.9693985
Riviere Du Loup,Canada,CYRI,YRI,Rivière-du-Loup Airport,47.76440048,-69.58470154
Roberval,Canada,CYRJ,YRJ,Roberval Airport,48.52000046,-72.26560211
Rocky Mountain House,Canada,CYRM,YRM,Rocky Mountain House Airport,52.42969894,-114.9039993
Rankin Inlet,Canada,CYRT,YRT,Rankin Inlet Airport,62.81140137,-92.11579895
Sudbury,Canada,CYSB,YSB,Sudbury Airport,46.625,-80.79889679
Sherbrooke,Canada,CYSC,YSC,Sherbrooke Airport,45.43859863,-71.69139862
St. John,Canada,CYSJ,YSJ,Saint John Airport,45.31610107,-65.89029694
Fort Smith,Canada,CYSM,YSM,Fort Smith Airport,60.02030182,-111.961998
Nanisivik,Canada,CYSR,YSR,Nanisivik Airport,72.982201,-84.613602
Summerside,Canada,CYSU,YSU,Summerside Airport,46.44060135,-63.83359909
Sachs Harbour,Canada,CYSY,YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,71.99389648,-125.2429962
Cape Dorset,Canada,CYTE,YTE,Cape Dorset Airport,64.23000336,-76.52670288
Thompson,Canada,CYTH,YTH,Thompson Airport,55.80110168,-97.86419678
Trenton,Canada,CYTR,YTR,CFB Trenton,44.1189003,-77.52809906
Timmins,Canada,CYTS,YTS,Timmins/Victor M. Power,48.56969833,-81.37670136
Toronto,Canada,CYTZ,YTZ,Billy Bishop Toronto City Centre Airport,43.627499,-79.396202
Tuktoyaktuk,Canada,CYUB,YUB,Tuktoyaktuk Airport,69.4332962,-133.026001
Montreal,Canada,CYUL,YUL,Montreal / Pierre Elliott Trudeau International Airport,45.47060013,-73.74079895
Repulse Bay,Canada,CYUT,YUT,Repulse Bay Airport,66.52140045,-86.22470093
Hall Beach,Canada,CYUX,YUX,Hall Beach Airport,68.77610016,-81.2425
Rouyn,Canada,CYUY,YUY,Rouyn Noranda Airport,48.20610046,-78.83560181
La Ronge,Canada,CYVC,YVC,La Ronge Airport,55.15140152,-105.262001
Vermillion,Canada,CYVG,YVG,Vermilion Airport,53.35580063,-110.8239975
Broughton Island,Canada,CYVM,YVM,Qikiqtarjuaq Airport,67.54579926,-64.03140259
Val D'or,Canada,CYVO,YVO,Val-d'Or Airport,48.05329895,-77.78279877
Quujjuaq,Canada,CYVP,YVP,Kuujjuaq Airport,58.09609985,-68.42690277
Norman Wells,Canada,CYVQ,YVQ,Norman Wells Airport,65.28160095,-126.7979965
Vancouver,Canada,CYVR,YVR,Vancouver International Airport,49.19390106,-123.1839981
Buffalo Narrows,Canada,CYVT,YVT,Buffalo Narrows Airport,55.84189987,-108.4179993
Wiarton,Canada,CYVV,YVV,Wiarton Airport,44.7458,-81.107201
Petawawa,Canada,CYWA,YWA,Petawawa Airport,45.95220184,-77.31919861
Winnipeg,Canada,CYWG,YWG,Winnipeg / James Armstrong Richardson International Airport,49.90999985,-97.23989868
Wabush,Canada,CYWK,YWK,Wabush Airport,52.9219017,-66.86440277
Williams Lake,Canada,CYWL,YWL,Williams Lake Airport,52.18310165,-122.0540009
Wrigley,Canada,CYWY,YWY,Wrigley Airport,63.20940018,-123.4369965
Cranbrook,Canada,CYXC,YXC,Cranbrook/Canadian Rockies International Airport,49.6108017,-115.7819977
Edmonton,Canada,CYXD,YXD,Edmonton City Centre (Blatchford Field) Airport,53.57249832,-113.5210037
Saskatoon,Canada,CYXE,YXE,Saskatoon John G. Diefenbaker International Airport,52.17079926,-106.6999969
Medicine Hat,Canada,CYXH,YXH,Medicine Hat Airport,50.01890182,-110.7210007
Fort Saint John,Canada,CYXJ,YXJ,Fort St John Airport,56.23809814,-120.7399979
Sioux Lookout,Canada,CYXL,YXL,Sioux Lookout Airport,50.11389923,-91.90529633
Pangnirtung,Canada,CYXP,YXP,Pangnirtung Airport,66.14499664,-65.71360016
Earlton,Canada,CYXR,YXR,Earlton (Timiskaming Regional) Airport,47.69740065,-79.84734535
Prince George,Canada,CYXS,YXS,Prince George Airport,53.88940048,-122.6790009
Terrace,Canada,CYXT,YXT,Northwest Regional Airport Terrace-Kitimat,54.468498,-128.576009
London,Canada,CYXU,YXU,London Airport,43.035599,-81.1539
Abbotsford,Canada,CYXX,YXX,Abbotsford Airport,49.02529907,-122.3610001
Whitehorse,Canada,CYXY,YXY,Whitehorse / Erik Nielsen International Airport,60.70959854,-135.0670013
North Bay,Canada,CYYB,YYB,North Bay Jack Garland Airport,46.363602,-79.422798
Calgary,Canada,CYYC,YYC,Calgary International Airport,51.11389923,-114.0199966
Smithers,Canada,CYYD,YYD,Smithers Airport,54.8246994,-127.1829987
Fort Nelson,Canada,CYYE,YYE,Fort Nelson Airport,58.83639908,-122.5970001
Penticton,Canada,CYYF,YYF,Penticton Airport,49.46310043,-119.6019974
Charlottetown,Canada,CYYG,YYG,Charlottetown Airport,46.29000092,-63.12110138
Spence Bay,Canada,CYYH,YYH,Taloyoak Airport,69.54669952,-93.5766983
Victoria,Canada,CYYJ,YYJ,Victoria International Airport,48.64690018,-123.4260025
Lynn Lake,Canada,CYYL,YYL,Lynn Lake Airport,56.86389923,-101.0759964
Swift Current,Canada,CYYN,YYN,Swift Current Airport,50.29190063,-107.6910019
Churchill,Canada,CYYQ,YYQ,Churchill Airport,58.73920059,-94.06500244
Goose Bay,Canada,CYYR,YYR,Goose Bay Airport,53.31919861,-60.42580032
St. John's,Canada,CYYT,YYT,St. John's International Airport,47.61859894,-52.75189972
Kapuskasing,Canada,CYYU,YYU,Kapuskasing Airport,49.41389847,-82.46749878
Armstrong,Canada,CYYW,YYW,Armstrong Airport,50.29029846,-88.90969849
Mont Joli,Canada,CYYY,YYY,Mont Joli Airport,48.60860062,-68.20809937
Toronto,Canada,CYYZ,YYZ,Lester B. Pearson International Airport,43.67720032,-79.63059998
Toronto,Canada,CYZD,YZD,Downsview Airport,43.74250031,-79.46559906
Gore Bay,Canada,CYZE,YZE,Gore Bay Manitoulin Airport,45.88529968,-82.56780243
Yellowknife,Canada,CYZF,YZF,Yellowknife Airport,62.46279907,-114.4400024
Slave Lake,Canada,CYZH,YZH,Slave Lake Airport,55.29309845,-114.7770004
Sandspit,Canada,CYZP,YZP,Sandspit Airport,53.25429916,-131.8139954
Sarnia,Canada,CYZR,YZR,Chris Hadfield Airport,42.99940109,-82.30889893
Port Hardy,Canada,CYZT,YZT,Port Hardy Airport,50.68059921,-127.3669968
Whitecourt,Canada,CYZU,YZU,Whitecourt Airport,54.14390182,-115.7870026
Sept-iles,Canada,CYZV,YZV,Sept-Îles Airport,50.22330093,-66.26560211
Teslin,Canada,CYZW,YZW,Teslin Airport,60.17279816,-132.7429962
Greenwood,Canada,CYZX,YZX,CFB Greenwood,44.9844017,-64.91690063
Faro,Canada,CZFA,ZFA,Faro Airport,62.20750046,-133.3760071
Fort Mcpherson,Canada,CZFM,ZFM,Fort Mcpherson Airport,67.40750122,-134.8609924
Blida,Algeria,DAAB,QLD,Blida Airport,36.50360107,2.814169884
Bou Saada,Algeria,DAAD,BUJ,Bou Saada Airport,35.33250046,4.206389904
Bejaja,Algeria,DAAE,BJA,Soummam Airport,36.7120018,5.069920063
Algier,Algeria,DAAG,ALG,Houari Boumediene Airport,36.69100189,3.215409994
Djanet,Algeria,DAAJ,DJG,Djanet Inedbirene Airport,24.292801,9.45244
Illizi,Algeria,DAAP,VVZ,Illizi Takhamalt Airport,26.7234993,8.622650146
Tamanrasset,Algeria,DAAT,TMR,Aguenar – Hadj Bey Akhamok Airport,22.81150055,5.451079845
Jijel,Algeria,DAAV,GJL,Jijel Ferhat Abbas Airport,36.79510117,5.87361002
Mecheria,Algeria,DAAY,MZW,Mecheria Airport,33.53590012,-0.242353007
Annaba,Algeria,DABB,AAE,Rabah Bitat Airport,36.822201,7.809174
Constantine,Algeria,DABC,CZL,Mohamed Boudiaf International Airport,36.27600098,6.620389938
Tebessa,Algeria,DABS,TEE,Cheikh Larbi Tébessi Airport,35.43159866,8.12071991
Tilrempt,Algeria,DAFH,HRM,Hassi R'Mel Airport,32.93040085,3.311539888
Tiaret,Algeria,DAOB,TID,Bou Chekif Airport,35.34109879,1.463150024
Tindouf,Algeria,DAOF,TIN,Tindouf Airport,27.7003994,-8.167099953
Ech-cheliff,Algeria,DAOI,CFK,Ech Cheliff Airport,36.21269989,1.331769943
Oran,Algeria,DAOL,TAF,Tafaraoui Airport,35.54240036,-0.532278001
Tlemcen,Algeria,DAON,TLM,Zenata – Messali El Hadj Airport,35.01670074,-1.450000048
Oran,Algeria,DAOO,ORN,Es Senia Airport,35.62390137,-0.621182978
Sidi Bel Abbes,Algeria,DAOS,BFW,Sidi Bel Abbes Airport,35.17179871,-0.593275011
Ghriss,Algeria,DAOV,MUW,Ghriss Airport,35.20769882,0.147141993
Adrar,Algeria,DAUA,AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,27.83760071,-0.186414003
Biskra,Algeria,DAUB,BSK,Biskra Airport,34.79330063,5.738230228
El Golea,Algeria,DAUE,ELG,El Golea Airport,30.57130051,2.859590054
Ghardaia,Algeria,DAUG,GHA,Noumérat - Moufdi Zakaria Airport,32.38410187,3.79411006
Hassi Messaoud,Algeria,DAUH,HME,Oued Irara Airport,31.67300034,6.140439987
In Salah,Algeria,DAUI,INZ,In Salah Airport,27.25099945,2.512020111
