ISO3,Country Name,lat_min,lat_max,lon_min,lon_max
AFG,Afghanistan,29.3772,38.4910682,60.5176034,74.889862
AL,Alabama,30.223334,35.008028,-88.473227,-84.88908
ALA,�land Islands,59.4541578,60.87665,19.0832098,21.3456556
AK,Alaska,51.214183,71.365162,-179.148909,179.77847
ALB,Albania,11.081041,11.408791,-72.6598913,-72.4039128
DZA,Algeria,18.968147,37.2962055,-8.668908,11.997337
ASM,American Samoa,-14.7608358,-10.8449746,-171.2951296,-167.9322899
AND,Andorra,42.4288238,42.6559357,1.4135781,1.7863837
AGO,Angola,-18.038945,-4.3880634,11.4609793,24.0878856
AIA,Anguilla,18.0615454,18.7951194,-63.6391992,-62.7125449
ATA,Antarctica,-85.0511287,-60,-180,180
ATG,Antigua and Barbuda,16.7573901,17.929,-62.5536517,-61.447857
ARG,Argentina,-55.1850761,-21.781168,-73.5600329,-53.6374515
AZ,Arizona,31.332177,37.00426,-114.81651,-109.045223
AR,Arkansas,33.004106,36.4996,-94.617919,-89.644395
ARM,Armenia,4.3951997,4.5895768,-75.7854388,-75.6325211
ABW,Aruba,12.1702998,12.8102998,-70.2809842,-69.6409842
AUS,Australia,-55.3228175,-9.0882278,72.2460938,168.2249543
AUT,Austria,46.3722761,49.0205305,9.5307487,17.160776
AZE,Azerbaijan,38.3929551,41.9502947,44.7633701,51.0090302
BHS,Bahamas,20.7059846,27.4734551,-80.7001941,-72.4477521
BHR,Bahrain,35.1878012,35.2278012,72.5273968,72.5673968
BGD,Bangladesh,20.3756582,26.6382534,88.0075306,92.6804979
BRB,Barbados,12.845,13.535,-59.8562115,-59.2147175
BLR,Belarus,51.2575982,56.17218,23.1783344,32.7627809
BEL,Belgium,49.4969821,51.5516667,2.3889137,6.408097
BLZ,Belize,15.8857286,18.496001,-89.2262083,-87.3098494
BEN,Benin,6.1730586,6.4930586,5.4621058,5.7821058
BMU,Bermuda,32.0469651,32.5913693,-65.1232222,-64.4109842
BTN,Bhutan,26.702016,28.246987,88.7464724,92.1252321
BOL,Bolivia Plurinational State of,-22.8982742,-9.6689438,-69.6450073,-57.453
BIH,Bosnia and Herzegovina,42.5553114,45.2764135,15.7287433,19.6237311
BWA,Botswana,-26.9059669,-17.778137,19.9986474,29.375304
BVT,Bouvet Island,-54.654,-54.187,2.9345531,3.7791099
BRA,Brazil,-33.8689056,5.2842873,-73.9830625,-28.6341164
BRN,Brunei Darussalam,4.002508,5.1011857,114.0758734,115.3635623
BGR,Bulgaria,41.2353929,44.2167064,22.3571459,28.8875409
BFA,Burkina Faso,9.4104718,15.084,-5.5132416,2.4089717
BDI,Burundi,-4.4693155,-2.3096796,29.0007401,30.8498462
CA,California,32.534156,42.009518,-124.409591,-114.131211
KHM,Cambodia,9.4752639,14.6904224,102.3338282,107.6276788
CMR,Cameroon,1.6546659,13.083333,8.3822176,16.1921476
CAN,Canada,41.6765556,83.3362128,-141.00275,-52.3231981
CPV,Cape Verde,14.8031546,17.2053108,-25.3609478,-22.6673416
CYM,Cayman Islands,19.0620619,19.9573759,-81.6313748,-79.5110954
CAF,Central African Republic,25.217277,25.2194356,55.1742999,55.1762608
TCD,Chad,7.44107,23.4975,13.47348,24
CHL,Chile,-56.725,-17.4983998,-109.6795789,-66.0753474
CHN,China,25.0671341,25.9161824,-99.4612273,-98.421576
CXR,Christmas Island,-10.5698515,-10.4123553,105.5336422,105.7130159
CCK,Cocos (Keeling) Islands,-12.4055983,-11.6213132,96.612524,97.1357343
COL,Colombia,-4.2316872,16.0571269,-82.1243666,-66.8511907
CO,Colorado,36.992426,41.003444,-109.060253,-102.041524
MP,Commonwealth of the Northern Mariana Islands,14.110472,20.553802,144.886331,146.064818
COM,Comoros,-12.621,-11.165,43.025305,44.7451922
COG,Congo,-5.149089,3.713056,11.0048205,18.643611
COD,Congo the Democratic Republic of the,-4.2726671,-4.2723703,15.2829578,15.283136
CT,Connecticut,40.980144,42.050587,-73.727775,-71.786994
COK,Cook Islands,-22.15807,-8.7168792,-166.0856468,-157.1089329
CRI,Costa Rica,5.3329698,11.2195684,-87.2722647,-82.5060208
CIV,C�te d'Ivoire,4.1621205,10.740197,-8.601725,-2.493031
HRV,Croatia,42.1765993,46.555029,13.2104814,19.4470842
CUB,Cuba,19.6275294,23.4816972,-85.1679702,-73.9190004
CYP,Cyprus,27.4823018,42.4823018,25.6451285,40.6451285
CZE,Czech Republic,48.5518083,51.0557036,12.0905901,18.859216
DE,Delaware,38.451013,39.839007,-75.788658,-75.048939
DNK,Denmark,54.4516667,57.9524297,7.7153255,15.5530641
